
Train set: Average loss: 0.0020, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0017, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0061, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0022, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


 The epoch is 60, average recall: 0.7759, average precision: 0.7895,average F1: 0.7826, average accuracy: 0.7881, average AUC: 0.8799
Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0014, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0043, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0032, Accuracy: 420/425 (99%)


 The epoch is 70, average recall: 0.7586, average precision: 0.8148,average F1: 0.7857, average accuracy: 0.7966, average AUC: 0.8675
Train set: Average loss: 0.0093, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0031, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0021, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0014, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 424/425 (100%)


 The epoch is 80, average recall: 0.7241, average precision: 0.7368,average F1: 0.7304, average accuracy: 0.7373, average AUC: 0.8566
Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0014, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


 The epoch is 90, average recall: 0.7414, average precision: 0.7544,average F1: 0.7478, average accuracy: 0.7542, average AUC: 0.8394
Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0024, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0016, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0100, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0050, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0013, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0030, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


 The epoch is 100, average recall: 0.7414, average precision: 0.7679,average F1: 0.7544, average accuracy: 0.7627, average AUC: 0.8339
Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


 The epoch is 110, average recall: 0.7931, average precision: 0.7302,average F1: 0.7603, average accuracy: 0.7542, average AUC: 0.8328
Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


