
Train set: Average loss: 0.0134, Accuracy: 405/425 (95%)


Train set: Average loss: 0.0093, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0105, Accuracy: 407/425 (96%)


Train set: Average loss: 0.0061, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0071, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0069, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0129, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0125, Accuracy: 407/425 (96%)


Train set: Average loss: 0.0063, Accuracy: 415/425 (98%)


 The epoch is 90, average recall: 0.8621, average precision: 0.6944,average F1: 0.7692, average accuracy: 0.7458, average AUC: 0.8379
Train set: Average loss: 0.0092, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0112, Accuracy: 403/425 (95%)


Train set: Average loss: 0.0102, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0186, Accuracy: 403/425 (95%)


Train set: Average loss: 0.0075, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0095, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0106, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0153, Accuracy: 399/425 (94%)


Train set: Average loss: 0.0087, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0051, Accuracy: 419/425 (99%)


 The epoch is 100, average recall: 0.7931, average precision: 0.7931,average F1: 0.7931, average accuracy: 0.7966, average AUC: 0.8445
Train set: Average loss: 0.0047, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0042, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0033, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0032, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0130, Accuracy: 406/425 (96%)


Train set: Average loss: 0.0150, Accuracy: 402/425 (95%)


Train set: Average loss: 0.0144, Accuracy: 401/425 (94%)


Train set: Average loss: 0.0109, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0107, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0097, Accuracy: 412/425 (97%)


 The epoch is 110, average recall: 0.8276, average precision: 0.7500,average F1: 0.7869, average accuracy: 0.7797, average AUC: 0.8448
Train set: Average loss: 0.0079, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0059, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0026, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0059, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0062, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0125, Accuracy: 403/425 (95%)


Train set: Average loss: 0.0078, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0051, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0057, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0042, Accuracy: 421/425 (99%)


 The epoch is 120, average recall: 0.8276, average precision: 0.8000,average F1: 0.8136, average accuracy: 0.8136, average AUC: 0.8690
Train set: Average loss: 0.0046, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0107, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0081, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0083, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0067, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0097, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0065, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0046, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0038, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0019, Accuracy: 423/425 (100%)


 The epoch is 130, average recall: 0.7931, average precision: 0.7931,average F1: 0.7931, average accuracy: 0.7966, average AUC: 0.8397
Train set: Average loss: 0.0186, Accuracy: 404/425 (95%)


Train set: Average loss: 0.0069, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0045, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0023, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0062, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0070, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0053, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0061, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0026, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0056, Accuracy: 415/425 (98%)


 The epoch is 140, average recall: 0.8103, average precision: 0.7833,average F1: 0.7966, average accuracy: 0.7966, average AUC: 0.8454
Train set: Average loss: 0.0125, Accuracy: 407/425 (96%)


Train set: Average loss: 0.0060, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0072, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0057, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0042, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0045, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0095, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0045, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0091, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0090, Accuracy: 407/425 (96%)


 The epoch is 150, average recall: 0.7759, average precision: 0.8036,average F1: 0.7895, average accuracy: 0.7966, average AUC: 0.8305
Train set: Average loss: 0.0086, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0034, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0034, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0031, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0050, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0080, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0038, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0023, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0039, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0026, Accuracy: 420/425 (99%)


 The epoch is 160, average recall: 0.8276, average precision: 0.7869,average F1: 0.8067, average accuracy: 0.8051, average AUC: 0.8534
Train set: Average loss: 0.0048, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0051, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0038, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0218, Accuracy: 391/425 (92%)


Train set: Average loss: 0.0160, Accuracy: 402/425 (95%)


Train set: Average loss: 0.0067, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0086, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0053, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0030, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0035, Accuracy: 420/425 (99%)


 The epoch is 170, average recall: 0.8103, average precision: 0.7966,average F1: 0.8034, average accuracy: 0.8051, average AUC: 0.8526
Train set: Average loss: 0.0044, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 423/425 (100%)


