
Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0152, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0077, Accuracy: 410/425 (96%)


 The epoch is 90, average recall: 0.8103, average precision: 0.8704,average F1: 0.8393, average accuracy: 0.8475, average AUC: 0.9253
Train set: Average loss: 0.0042, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0018, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0016, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0018, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0014, Accuracy: 423/425 (100%)


 The epoch is 100, average recall: 0.8276, average precision: 0.8727,average F1: 0.8496, average accuracy: 0.8559, average AUC: 0.9325
Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0016, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0139, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0131, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0067, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0030, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0083, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0022, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


 The epoch is 110, average recall: 0.8448, average precision: 0.8305,average F1: 0.8376, average accuracy: 0.8390, average AUC: 0.9379
Train set: Average loss: 0.0019, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0035, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0020, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0019, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0019, Accuracy: 421/425 (99%)


